hardware,depth_ratio,cx_ratio,init,circuit
tokyo,1.087719298245614,1.8,sa,20Q_gate_Tokyo_large_1_0_1.5_no.3
rochester,5.302631578947368,8.932,identity,53Q_depth_Rochester_small_None_4_1.5_no.7
sycamore,4.152317880794702,3.7382271468144044,sabre,53Q_gate_Sycamore_large_1_25_1.5_no.0
tokyo,1.2181818181818183,1.7333333333333334,sa,20Q_gate_Tokyo_large_2_0_1.5_no.0
tokyo,1.1481481481481481,1.876923076923077,sa,20Q_depth_Tokyo_large_None_4_1.5_no.6
sycamore,3.582089552238806,5.699421965317919,sa,53Q_depth_Sycamore_large_None_1_1.5_no.7
tokyo,2.230769230769231,2.963636363636364,random,20Q_gate_Tokyo_large_2_1_1.5_no.8
tokyo,2.0129032258064514,2.675,identity,20Q_gate_Tokyo_large_1_10_1.5_no.3
sycamore,4.093023255813954,3.9043478260869566,sabre,53Q_gate_Sycamore_large_2_15_1.5_no.8
rochester,4.89873417721519,5.966767371601208,sa,53Q_gate_Rochester_large_2_20_1.5_no.0
rochester,8.108108108108109,8.298780487804878,random,53Q_gate_Rochester_small_1_20_1.5_no.1
sycamore,2.489130434782609,6.82,random,53Q_gate_Sycamore_small_2_5_1.5_no.5
sycamore,6.256410256410256,6.916083916083916,identity,53Q_gate_Sycamore_small_2_2_1.5_no.0
rochester,7.184210526315789,9.331325301204819,identity,53Q_gate_Rochester_large_1_3_1.5_no.8
rochester,4.675,5.578947368421052,sabre,53Q_gate_Rochester_small_1_5_1.5_no.5
sycamore,4.15406162464986,6.515644555694618,identity,53Q_depth_Sycamore_large_None_10_2.55_no.9
tokyo,1.2921810699588476,1.582857142857143,sa,20Q_gate_Tokyo_large_1_20_1.5_no.2
rochester,4.709677419354839,6.315789473684211,sabre,53Q_gate_Rochester_large_2_3_1.5_no.3
tokyo,2.140845070422535,2.896694214876033,random,20Q_gate_Tokyo_large_2_15_1.5_no.4
sycamore,6.431818181818182,8.173076923076923,random,53Q_gate_Sycamore_large_1_3_1.5_no.3
sycamore,2.7941176470588234,4.424892703862661,sabre,53Q_depth_Sycamore_small_None_2_1.5_no.4
sycamore,2.4510869565217392,4.206896551724138,sa,53Q_depth_Sycamore_large_None_10_2.55_no.7
sycamore,3.5384615384615383,5.135416666666667,random,53Q_gate_Sycamore_large_1_10_1.5_no.3
rochester,2.1746031746031744,6.756756756756757,sa,53Q_gate_Rochester_small_1_4_1.5_no.7
tokyo,2.0350877192982457,2.3457943925233646,sabre,20Q_depth_Tokyo_large_None_1_2.55_no.1
tokyo,2.411764705882353,2.512396694214876,sabre,20Q_depth_Tokyo_large_None_2_1.5_no.0
rochester,3.652173913043478,4.533333333333333,sabre,53Q_gate_Rochester_large_1_10_1.5_no.9
tokyo,1.3243243243243243,1.9705882352941178,sa,20Q_depth_Tokyo_large_None_2_2.55_no.9
tokyo,2.048780487804878,3.4107142857142856,random,20Q_gate_Tokyo_large_1_1_1.5_no.2
rochester,5.7105263157894735,4.809148264984227,sa,53Q_gate_Rochester_large_1_25_1.5_no.6
tokyo,1.864864864864865,2.697674418604651,identity,20Q_depth_Tokyo_large_None_2_2.55_no.7
rochester,6.4,7.908333333333333,identity,53Q_gate_Rochester_small_2_25_1.5_no.6
rochester,4.858974358974359,5.559659090909091,sabre,53Q_gate_Rochester_small_2_20_1.5_no.5
rochester,8.161904761904761,7.851851851851852,random,53Q_gate_Rochester_small_1_25_1.5_no.7
sycamore,4.108108108108108,4.590636254501801,sabre,53Q_depth_Sycamore_large_None_10_1.5_no.3
tokyo,1.9662162162162162,3.1176470588235294,identity,20Q_depth_Tokyo_large_None_2_2.55_no.9
sycamore,3.348148148148148,3.6579439252336448,sabre,53Q_gate_Sycamore_large_2_25_1.5_no.5
rochester,3.7471264367816093,5.1328671328671325,sabre,53Q_gate_Rochester_large_1_10_1.5_no.7
sycamore,5.914285714285715,7.473684210526316,random,53Q_gate_Sycamore_small_1_1_1.5_no.5
rochester,2.607142857142857,7.434782608695652,sabre,53Q_gate_Rochester_small_2_1_1.5_no.5
